A,B
"Polygon ((100.41362502 38.56688633, 100.41343074 38.56670088, 100.41329547 38.56679975, 100.41295542 38.56703533, 100.41305249 38.56712931, 100.41313422 38.56719505, 100.41314492 38.56720792, 100.41334856 38.56709273, 100.41349069 38.56697185, 100.41362502 38.56688633))",11
"Polygon ((100.41465173 38.56683233, 100.41461167 38.56679765, 100.41439999 38.56694263, 100.41420927 38.56707309, 100.41404352 38.56718646, 100.41415162 38.56728049, 100.41431284 38.56718329, 100.41445014 38.56710052, 100.41472845 38.56693736, 100.41471544 38.56692308, 100.41465173 38.56683233))",12
"Polygon ((100.41208631 38.5669016, 100.41204847 38.56682937, 100.41174706 38.56701731, 100.41173678 38.56702347, 100.41146141 38.56718855, 100.41159699 38.5673153, 100.41185947 38.56715359, 100.41208433 38.56701936, 100.41208631 38.5669016))",13
"Polygon ((100.41385044 38.56708905, 100.41365721 38.56691026, 100.41345933 38.56703658, 100.41326944 38.56717965, 100.41317842 38.56724824, 100.41319795 38.56727174, 100.41336796 38.56742699, 100.41338061 38.56743772, 100.41348414 38.5673674, 100.41368587 38.56723037, 100.41369823 38.56722197, 100.41385044 38.56708905))",14
"Polygon ((100.4120835 38.56706847, 100.41208401 38.56703843, 100.41190992 38.56714213, 100.41156937 38.56734643, 100.41148721 38.56741416, 100.41161243 38.56753062, 100.41178244 38.5674535, 100.41211869 38.5672555, 100.4120835 38.56706847))",15
"Polygon ((100.41154112 38.56729911, 100.41142923 38.56720735, 100.41115167 38.5673696, 100.41106523 38.56742022, 100.41108909 38.56746901, 100.41112028 38.56751153, 100.41118777 38.56754766, 100.41124497 38.56752314, 100.41136193 38.56745023, 100.41148943 38.56737242, 100.41155368 38.56732041, 100.41154112 38.56729911))",16
"Polygon ((100.41085141 38.56753539, 100.41073306 38.56747333, 100.41065705 38.56738986, 100.41068756 38.56737215, 100.41069956 38.56739032, 100.41075236 38.56745165, 100.41078495 38.5674362, 100.41079175 38.5674476, 100.41081995 38.56749255, 100.4108726 38.56751857, 100.41093525 38.56749303, 100.4110356 38.56740888, 100.41110147 38.56736232, 100.41133451 38.56723272, 100.4115253 38.56711602, 100.41178681 38.56695271, 100.41185451 38.56691097, 100.41192719 38.56686617, 100.41203363 38.5667829, 100.41202035 38.56660097, 100.41201187 38.56651282, 100.41199901 38.5663791, 100.41196687 38.56629708, 100.41195811 38.56627473, 100.41194164 38.56617769, 100.4119352 38.56611064, 100.41191877 38.56593963, 100.4119092 38.5658807, 100.41188943 38.56575885, 100.41185883 38.5655912, 100.4114371 38.56591327, 100.41142314 38.56592213, 100.41117474 38.56607969, 100.41102346 38.56617687, 100.41092141 38.56624243, 100.41064443 38.56643762, 100.41062881 38.56644924, 100.41047986 38.56655996, 100.41029981 38.566667, 100.41003009 38.56684542, 100.40993712 38.56690738, 100.41001948 38.56699812, 100.41006125 38.56703813, 100.41008132 38.56705576, 100.41010717 38.56705784, 100.41012762 38.56709453, 100.41017036 38.56710713, 100.41018136 38.56710817, 100.41020594 38.56714125, 100.41024007 38.56717898, 100.41027035 38.56717504, 100.41026374 38.56722517, 100.41032528 38.56726732, 100.41036994 38.56730015, 100.41041499 38.56735323, 100.41042896 38.56736654, 100.41058049 38.56751092, 100.41060514 38.56752969, 100.41061765 38.56752757, 100.41065323 38.56758274, 100.41068017 38.56761336, 100.41081043 38.56756794, 100.41085141 38.56753539))",17
"Polygon ((100.40320491 38.56589763, 100.40317024 38.56585367, 100.39976447 38.56645584, 100.39983171 38.56653211, 100.3998541 38.56655751, 100.40030702 38.56721338, 100.40066621 38.5677335, 100.40072807 38.56779234, 100.40087084 38.56771913, 100.4014025 38.56734931, 100.40200352 38.56700721, 100.40224563 38.56683386, 100.40275041 38.56656565, 100.40315983 38.56638914, 100.40349098 38.56624693, 100.40340994 38.56613827, 100.40320491 38.56589763))",18
"Polygon ((100.41160197 38.56777146, 100.41215639 38.56745593, 100.4121289 38.56730981, 100.41205146 38.56731678, 100.41186245 38.56743108, 100.41161238 38.56756722, 100.41159444 38.56754156, 100.41145399 38.5674229, 100.4112156 38.56757354, 100.41137456 38.56770747, 100.41152728 38.56783314, 100.41160197 38.56777146))",19
"Polygon ((100.41000935 38.56702327, 100.40991172 38.56692431, 100.40977364 38.5670267, 100.40975163 38.56704302, 100.40964711 38.56713127, 100.40961587 38.56716382, 100.40971679 38.56727939, 100.40973482 38.56730743, 100.40977001 38.56736216, 100.409864 38.56743372, 100.40986908 38.56744099, 100.40993583 38.56753653, 100.40998113 38.56760346, 100.41000304 38.56763582, 100.41005155 38.56771031, 100.41008988 38.56773011, 100.41010041 38.56774816, 100.41013543 38.56780821, 100.41017345 38.56788997, 100.4102341 38.56790187, 100.41043835 38.56779073, 100.41065555 38.56765846, 100.41067199 38.56762836, 100.41058448 38.56755973, 100.41052259 38.5674997, 100.41037577 38.56736562, 100.4103295 38.56732805, 100.41029084 38.56729157, 100.41020456 38.56722588, 100.41017022 38.56717743, 100.41015005 38.56715504, 100.41011286 38.56711616, 100.41007618 38.56710349, 100.41006218 38.56708579, 100.41004799 38.56705855, 100.41000935 38.56702327))",20
