A,B
"Polygon ((100.41390715 38.57092718, 100.41413512 38.57077586, 100.41416419 38.57081397, 100.41419016 38.57083796, 100.4142855 38.57077675, 100.41438558 38.5706783, 100.4144299 38.57061628, 100.41439489 38.57060746, 100.4144311 38.5705848, 100.41463016 38.5704251, 100.41471971 38.57037566, 100.41460409 38.57025676, 100.41445828 38.5701257, 100.41436398 38.57018045, 100.41410452 38.57034089, 100.41404017 38.57038541, 100.4140155 38.57036818, 100.41393381 38.57030482, 100.4139018 38.57029805, 100.41369028 38.57042573, 100.41396346 38.5702128, 100.41413562 38.57009036, 100.41430434 38.56997681, 100.41417096 38.56984708, 100.41401909 38.56969938, 100.41396221 38.56974058, 100.41395203 38.5698408, 100.41368476 38.57014433, 100.4136585 38.57016873, 100.41348202 38.57033268, 100.4135013 38.57038726, 100.41353651 38.57047978, 100.41356202 38.57051027, 100.41365339 38.57061946, 100.41366279 38.57063175, 100.41375309 38.57074982, 100.41390715 38.57092718))",82
"Polygon ((100.40887485 38.56793171, 100.40884059 38.56795159, 100.40883625 38.56797834, 100.40882799 38.56799371, 100.40875828 38.5679235, 100.40871906 38.56790491, 100.40867481 38.567856, 100.40855231 38.56794696, 100.40856747 38.56797728, 100.40858286 38.56801904, 100.40861057 38.56807019, 100.40865222 38.56808875, 100.40871579 38.56815234, 100.40872091 38.56816562, 100.40871712 38.56822001, 100.40869212 38.56824605, 100.40864406 38.56827237, 100.40864552 38.56828474, 100.40873651 38.568371, 100.40872889 38.56837705, 100.40871854 38.56838918, 100.40864358 38.56830955, 100.40862137 38.56829171, 100.40860326 38.56829669, 100.40858297 38.56831505, 100.40870094 38.56840981, 100.40868082 38.5684334, 100.40865283 38.56841049, 100.40856149 38.56833437, 100.40851707 38.56836065, 100.40852228 38.5683787, 100.4086484 38.5684628, 100.40863607 38.56847397, 100.40862319 38.56848564, 100.4086103 38.56847107, 100.40849081 38.56838384, 100.40846355 38.56840274, 100.40842291 38.56836273, 100.4083475 38.56831026, 100.40831898 38.56829072, 100.4082984 38.56827766, 100.40834282 38.56823268, 100.40828077 38.56815214, 100.40821851 38.56820026, 100.40820871 38.56819142, 100.4081975 38.56818384, 100.40845836 38.56798622, 100.40849153 38.56794387, 100.40865183 38.56780912, 100.40863497 38.56778501, 100.40868924 38.56775377, 100.40869024 38.56780524, 100.40870733 38.56784078, 100.40879638 38.56792408, 100.40887485 38.56793171, 100.40891195 38.56787264, 100.4089205 38.56775098, 100.40887658 38.56759374, 100.40878002 38.56751522, 100.40874949 38.5674904, 100.40859201 38.56744749, 100.40848184 38.56748733, 100.40842238 38.5675316, 100.40836292 38.56756521, 100.40829846 38.56762175, 100.40822494 38.56768127, 100.40820043 38.56772001, 100.4080839 38.56785496, 100.40795053 38.56799003, 100.40779342 38.56811845, 100.40777233 38.56815732, 100.40771993 38.5681794, 100.40759655 38.56831288, 100.4074721 38.56842573, 100.40727308 38.56861879, 100.40711177 38.56879648, 100.40704266 38.56886405, 100.40693477 38.56893589, 100.40716238 38.56911186, 100.40729761 38.56898783, 100.40725479 38.56903411, 100.40716238 38.56911186, 100.40725618 38.56919886, 100.40727265 38.56921347, 100.40739057 38.56931807, 100.40752953 38.56943867, 100.40754317 38.56945011, 100.40767397 38.56955991, 100.40769834 38.56958076, 100.40781568 38.56968118, 100.4078261 38.56969015, 100.40794259 38.56979048, 100.40796919 38.56981172, 100.40813225 38.56994192, 100.40814198 38.5699502, 100.40825912 38.57004979, 100.40827357 38.57006237, 100.40839439 38.57016757, 100.40840988 38.57018031, 100.40854341 38.57029019, 100.40867863 38.5704051, 100.40869055 38.57041549, 100.40882594 38.57053346, 100.40883643 38.57054171, 100.40898782 38.57066092, 100.40907561 38.57074068, 100.40910743 38.57076959, 100.40920898 38.57083987, 100.40922085 38.57085211, 100.40928985 38.57092326, 100.40933824 38.57097631, 100.40936674 38.57100339, 100.4094432 38.57100104, 100.40976599 38.57083413, 100.4102603 38.57058937, 100.41045278 38.57048727, 100.41067133 38.57037134, 100.4106265 38.57030109, 100.41054544 38.57017409, 100.41031157 38.56995097, 100.41018769 38.56976371, 100.40998497 38.56955022, 100.4098939 38.56948807, 100.40982436 38.56944062, 100.40976581 38.56942702, 100.40971923 38.56936698, 100.40970975 38.56935477, 100.40975677 38.56933704, 100.40979878 38.56927022, 100.40982743 38.56922465, 100.40981765 38.5691889, 100.40976888 38.5690107, 100.40976074 38.56898092, 100.40962913 38.56869626, 100.40959583 38.568608, 100.40956564 38.5685418, 100.40949833 38.56863515, 100.40938249 38.56855623, 100.40930388 38.56844849, 100.40923471 38.56835781, 100.40910932 38.56827924, 100.40898773 38.5683951, 100.40906345 38.56844853, 100.40918215 38.56855721, 100.40916679 38.56861031, 100.40907649 38.56868467, 100.4090553 38.56866861, 100.40897095 38.56859312, 100.40887439 38.56851698, 100.40881417 38.56858595, 100.40897926 38.56872339, 100.4089979 38.5687296, 100.40903497 38.56877425, 100.40897048 38.5687411, 100.40893677 38.56872378, 100.4087763 38.56858986, 100.40872455 38.56865213, 100.40863252 38.56871041, 100.40854949 38.56864185, 100.40847587 38.56860269, 100.40851019 38.56858798, 100.4086376 38.56867654, 100.40874574 38.56857951, 100.40879376 38.56855152, 100.40880811 38.56854107, 100.40883866 38.5685188, 100.40885316 38.56848407, 100.40888405 38.56843365, 100.40891989 38.56840343, 100.40893483 38.56839133, 100.40899028 38.56835491, 100.40904844 38.56830178, 100.40907812 38.56826686, 100.40905132 38.56821595, 100.40900175 38.56816137, 100.40897531 38.56813225, 100.40890966 38.56803533, 100.40890126 38.56799372, 100.40888539 38.56795816, 100.40887485 38.56793171),(100.40760341 38.56872004, 100.40765151 38.56874723, 100.40767988 38.56875306, 100.40766955 38.56875742, 100.40756978 38.56887206, 100.40759002 38.56891377, 100.40761479 38.56893826, 100.40762411 38.56896294, 100.40759365 38.56898463, 100.4075065 38.5688652, 100.40748821 38.56879869, 100.40754088 38.56875992, 100.40760341 38.56872004),(100.40934176 38.56892258, 100.40935969 38.56890423, 100.40945751 38.56897026, 100.40956723 38.56909914, 100.4095492 38.56910609, 100.40950067 38.56904962, 100.40943271 38.56898967, 100.40938934 38.56894491, 100.40934176 38.56892258),(100.40946053 38.569093, 100.40949684 38.56913214, 100.40947908 38.5691416, 100.40946535 38.56912809, 100.40935279 38.56901728, 100.40929368 38.56897509, 100.40933591 38.56899155, 100.40941479 38.56905161, 100.40946053 38.569093),(100.40944405 38.56967922, 100.4091184 38.5699044, 100.40898547 38.56979227, 100.40900879 38.56977646, 100.40912124 38.56987778, 100.40955615 38.56956954, 100.40966942 38.56949223, 100.40956064 38.56939826, 100.4095714 38.56939217, 100.40971357 38.56949008, 100.40951589 38.56962735, 100.40944405 38.56967922))",83
"Polygon ((100.42520721 38.57081649, 100.42528516 38.57070543, 100.42526821 38.57067704, 100.42522481 38.5706933, 100.42514164 38.57072434, 100.42514107 38.57069575, 100.42518018 38.57064665, 100.42517975 38.57062521, 100.4250792 38.57060641, 100.42503166 38.57059698, 100.4249626 38.57060497, 100.42498209 38.57057756, 100.42498395 38.57048745, 100.42493766 38.5704494, 100.42486836 38.57035301, 100.42473478 38.57050622, 100.42469478 38.57060251, 100.42466046 38.57070631, 100.42467332 38.57071431, 100.4247154 38.57072381, 100.42473748 38.57073498, 100.4249134 38.57078861, 100.42494378 38.57079536, 100.42500488 38.57080894, 100.42505595 38.57082054, 100.42509453 38.5708293, 100.42514734 38.57082866, 100.42520721 38.57081649))",84
"Polygon ((100.42044457 38.57075939, 100.4203958 38.57074926, 100.42041324 38.57079905, 100.42041359 38.57089438, 100.42042203 38.57093717, 100.4204387 38.57093578, 100.42054686 38.57083926, 100.42053694 38.570825, 100.42044457 38.57075939))",85
"Polygon ((100.42537533 38.57075152, 100.4253224 38.57074645, 100.42524716 38.57083906, 100.42526264 38.57085586, 100.42530497 38.57087822, 100.42537796 38.57088448, 100.42542471 38.57085388, 100.42543888 38.57083369, 100.42544423 38.5708279, 100.42544754 38.5708107, 100.42544419 38.57078996, 100.42541599 38.57078106, 100.42537533 38.57075152))",86
"Polygon ((100.40715133 38.57085453, 100.40713165 38.57083551, 100.40710332 38.57084266, 100.40703855 38.57088348, 100.40686114 38.57100191, 100.40686733 38.57100852, 100.4068955 38.57102057, 100.40692777 38.57105641, 100.40697138 38.57111308, 100.40699312 38.5711071, 100.40706156 38.57106719, 100.4071336 38.57102533, 100.40722069 38.5709731, 100.40720918 38.57095679, 100.40715133 38.57085453))",87
"Polygon ((100.42563478 38.57086848, 100.42561159 38.57084732, 100.4255704 38.57085211, 100.42550484 38.57085291, 100.4254724 38.57087046, 100.42544755 38.57090365, 100.42549359 38.57092883, 100.42555385 38.57093668, 100.42561238 38.57094883, 100.42562075 38.57092705, 100.42563572 38.57091614, 100.42564599 38.57089814, 100.42564262 38.57088149, 100.42563478 38.57086848))",88
"Polygon ((100.40725789 38.5710258, 100.40723274 38.57099016, 100.40713762 38.57104435, 100.40710426 38.57107717, 100.40712499 38.57108168, 100.40721546 38.57117498, 100.40730967 38.57111462, 100.40725789 38.5710258))",89
"Polygon ((100.40559357 38.57045327, 100.40550496 38.57036292, 100.40523082 38.57062742, 100.4050021 38.57085515, 100.40482495 38.57098693, 100.40496683 38.57112446, 100.40505762 38.57120345, 100.40525624 38.57111383, 100.4052814 38.57109637, 100.40559579 38.57093434, 100.40590767 38.57076782, 100.40583882 38.5707001, 100.40576519 38.57063804, 100.40570054 38.57058355, 100.40565087 38.57052304, 100.40559357 38.57045327))",90
"Polygon ((100.42063711 38.57090124, 100.42056818 38.57086991, 100.42047412 38.57096157, 100.42052357 38.57100625, 100.42056835 38.57104503, 100.42068219 38.57095551, 100.42063711 38.57090124))",91
"Polygon ((100.40910307 38.57081135, 100.40896931 38.57069655, 100.40883801 38.57079405, 100.40862573 38.57093007, 100.40847701 38.57102528, 100.40835356 38.57110876, 100.4083623 38.57112104, 100.4084699 38.5712208, 100.40875665 38.57105213, 100.40876523 38.57104708, 100.40897024 38.57090403, 100.40910307 38.57081135))",92
"Polygon ((100.41078833 38.57048153, 100.41071657 38.57037545, 100.41068181 38.57039181, 100.41037053 38.57057104, 100.410322 38.57059898, 100.41027594 38.5706255, 100.40995124 38.57078767, 100.40990298 38.57081068, 100.40949912 38.57100329, 100.40940983 38.57104587, 100.40956806 38.57118887, 100.40958811 38.57120902, 100.40965587 38.57117562, 100.41004519 38.57098026, 100.4103443 38.57082889, 100.41042502 38.57078665, 100.41046999 38.57076312, 100.41052611 38.57073375, 100.41069594 38.5706471, 100.41069061 38.57063812, 100.41085659 38.57055698, 100.41078833 38.57048153))",93
"Polygon ((100.425801 38.57090403, 100.42575686 38.57090155, 100.42571451 38.57090922, 100.42567693 38.57092755, 100.42563659 38.57097571, 100.42568621 38.57099799, 100.4257648 38.57101133, 100.42582125 38.57101064, 100.42583104 38.57101271, 100.42586756 38.5709729, 100.42587837 38.57095131, 100.42585609 38.57093014, 100.42580389 38.5709054, 100.425801 38.57090403))",94
"Polygon ((100.40658458 38.57012537, 100.40658421 38.57010631, 100.40658246 38.57009139, 100.40657839 38.5700568, 100.40652939 38.56997255, 100.4065137 38.5699469, 100.40638136 38.57002043, 100.40629931 38.57009411, 100.40626629 38.57011357, 100.40624493 38.57010787, 100.40622799 38.57009497, 100.40620338 38.57007858, 100.4061695 38.57005396, 100.40612662 38.57003422, 100.40607635 38.57002529, 100.40600333 38.57002177, 100.40593243 38.5700598, 100.40581273 38.57014894, 100.40579143 38.57016954, 100.40576982 38.57019045, 100.40574369 38.57022032, 100.40569914 38.57023992, 100.40563121 38.5702436, 100.4055456 38.5703371, 100.40560626 38.57039643, 100.40573538 38.570479, 100.40575259 38.57049, 100.40585162 38.57060197, 100.40591028 38.57066829, 100.40598522 38.57073551, 100.4060141 38.57076142, 100.40610786 38.57087294, 100.40612599 38.5708945, 100.40621876 38.57099633, 100.4062265 38.57100483, 100.40633966 38.57114032, 100.40634711 38.57114924, 100.40638946 38.57119853, 100.40644095 38.57125846, 100.40682573 38.5710079, 100.40684469 38.57099489, 100.40701297 38.57087933, 100.40706387 38.57084297, 100.40711531 38.57081972, 100.40710553 38.57081027, 100.40706422 38.57074689, 100.4070105 38.57067795, 100.40699946 38.57066378, 100.40697365 38.57064788, 100.40695146 38.57063099, 100.40694849 38.57060338, 100.40690627 38.57055527, 100.40689069 38.57054738, 100.40687315 38.5705385, 100.40684073 38.57049504, 100.40680822 38.57044681, 100.40678629 38.5703813, 100.40675087 38.57030832, 100.4067112 38.57024468, 100.40670073 38.57022789, 100.40667228 38.57020154, 100.40662154 38.57015257, 100.40658458 38.57012537))",95
"Polygon ((100.40735554 38.5711762, 100.40731694 38.57112709, 100.40722683 38.57119772, 100.40728514 38.57126089, 100.40732913 38.57131206, 100.407345 38.57130125, 100.40741545 38.57125327, 100.40735554 38.5711762))",96
"Polygon ((100.40493769 38.57112481, 100.40480983 38.57100476, 100.40459463 38.57125856, 100.40466775 38.57134579, 100.40489129 38.57117399, 100.40493769 38.57112481))",97
"Polygon ((100.42603844 38.5710323, 100.42596145 38.57099335, 100.42593177 38.57099595, 100.42590892 38.57099146, 100.42585967 38.57101875, 100.42587662 38.57104715, 100.42594852 38.5710906, 100.42598141 38.57109592, 100.42603178 38.57106384, 100.42603844 38.5710323))",98
"Polygon ((100.41241515 38.57126089, 100.41243815 38.5712263, 100.41240315 38.5712067, 100.41237553 38.5711913, 100.4123372 38.57118748, 100.41224623 38.57119286, 100.41220082 38.57119913, 100.41213139 38.57118853, 100.4120987 38.57119321, 100.41208993 38.57121048, 100.41212145 38.5712387, 100.41216524 38.57124246, 100.41218751 38.57126364, 100.41224032 38.571263, 100.41231456 38.57124066, 100.41236001 38.57123582, 100.41239097 38.57123545, 100.41241515 38.57126089))",99
"Polygon ((100.41919165 38.57098167, 100.41911953 38.57095776, 100.41905189 38.57097574, 100.41903887 38.57099305, 100.41910574 38.57107891, 100.41915442 38.571146, 100.41920877 38.57118097, 100.41922936 38.57116997, 100.41927616 38.57114176, 100.41927029 38.57109035, 100.41925124 38.57104768, 100.41922757 38.57101746, 100.41919165 38.57098167))",100
"Polygon ((100.4201958 38.57045023, 100.42004249 38.57037296, 100.41998932 38.570386, 100.41992283 38.57040111, 100.41990833 38.57039343, 100.41982957 38.57035171, 100.41971563 38.57025617, 100.41969622 38.57023989, 100.41964438 38.57019762, 100.41956877 38.57018137, 100.41948967 38.5701728, 100.41946519 38.57016261, 100.41934279 38.57011357, 100.41914234 38.57004736, 100.41904054 38.56999616, 100.41898692 38.56998632, 100.41889912 38.57002933, 100.41886049 38.56997928, 100.418771 38.56993994, 100.41869799 38.56986685, 100.41867701 38.56984994, 100.41860254 38.56982987, 100.41852384 38.56984131, 100.41847941 38.56986664, 100.41846303 38.5698983, 100.4184637 38.56993261, 100.41848621 38.5699657, 100.41860499 38.57007771, 100.41864827 38.57011722, 100.41870059 38.57018427, 100.4188042 38.57026596, 100.41886601 38.57032145, 100.41895656 38.57035658, 100.41901048 38.57038167, 100.41901332 38.57040261, 100.41914054 38.57051165, 100.41920196 38.57054713, 100.41921629 38.57056675, 100.41923441 38.57059154, 100.41924965 38.57060399, 100.41935289 38.5706883, 100.41947874 38.57078973, 100.41955424 38.57086222, 100.41956606 38.57087301, 100.41966553 38.57096383, 100.41971206 38.57100374, 100.41974335 38.57103057, 100.41986538 38.57112252, 100.41995041 38.57118536, 100.42008934 38.57113706, 100.42022297 38.57106275, 100.42038374 38.57096096, 100.42037273 38.57094778, 100.42038985 38.57089228, 100.42037077 38.5707867, 100.42036412 38.57075917, 100.42034959 38.57070273, 100.4203423 38.57067439, 100.42030301 38.57059097, 100.42023042 38.57048127, 100.4201958 38.57045023))",101
"Polygon ((100.42071234 38.57102188, 100.42069696 38.57098802, 100.42058222 38.57105559, 100.42065832 38.57114285, 100.42070026 38.5711912, 100.42075072 38.57113032, 100.42071234 38.57102188))",102
"Polygon ((100.40845749 38.57122981, 100.40834909 38.57112883, 100.40818855 38.57124039, 100.40829529 38.57134757, 100.40845749 38.57122981))",103
"Polygon ((100.40692417 38.57108586, 100.40685294 38.57101551, 100.40674654 38.57109088, 100.40644149 38.571287, 100.40657479 38.57139702, 100.40664752 38.57135573, 100.40678646 38.57125206, 100.40692807 38.5711599, 100.40695432 38.57112302, 100.40692417 38.57108586))",104
"Polygon ((100.40723755 38.57124907, 100.40720303 38.57122279, 100.40707736 38.57131677, 100.40717716 38.57142131, 100.40730017 38.57133218, 100.4072758 38.57128007, 100.40723755 38.57124907))",105
"Polygon ((100.4195597 38.57109962, 100.41952104 38.57107864, 100.41950683 38.5710974, 100.41948964 38.57114909, 100.4195506 38.57119268, 100.41965195 38.57125151, 100.41978046 38.57130286, 100.4198147 38.57128386, 100.41975916 38.57123877, 100.41969652 38.57120235, 100.41964261 38.57114723, 100.4195597 38.57109962))",106
"Polygon ((100.4074653 38.57132455, 100.40743712 38.57128326, 100.40740272 38.57129057, 100.4073453 38.57133511, 100.40738263 38.57138138, 100.40744378 38.57146549, 100.40750959 38.57141649, 100.4074653 38.57132455))",107
"Polygon ((100.407982 38.57108939, 100.40821759 38.57093137, 100.40823815 38.57094712, 100.40802181 38.57109654, 100.4081184 38.57119262, 100.4081566 38.57122076, 100.40829936 38.57113133, 100.40844061 38.57102668, 100.40870326 38.57085859, 100.40890436 38.57071843, 100.40895427 38.57068364, 100.40891411 38.57064918, 100.40880878 38.57055907, 100.4087196 38.57048278, 100.40866228 38.57043829, 100.40852725 38.57033352, 100.40851572 38.57032365, 100.40833247 38.57044734, 100.40817495 38.57055481, 100.40800891 38.57066811, 100.4079355 38.57071553, 100.4078953 38.5706802, 100.40779053 38.57060043, 100.40763631 38.57070953, 100.40776735 38.57082405, 100.40774347 38.57083931, 100.40766796 38.57077589, 100.40760164 38.57072187, 100.40769496 38.57064948, 100.40756752 38.57052923, 100.40739075 38.57064933, 100.40726178 38.57049904, 100.40715735 38.57038781, 100.40694315 38.57049613, 100.40696818 38.57052673, 100.40705114 38.5706238, 100.40715086 38.57074046, 100.40717572 38.57077301, 100.40727423 38.570902, 100.40728181 38.57091708, 100.40735571 38.57106403, 100.40736651 38.57107777, 100.40747712 38.57121844, 100.40748605 38.57123091, 100.40757262 38.57135172, 100.40759151 38.57138052, 100.40767776 38.57151204, 100.40774122 38.57149698, 100.40775385 38.5714911, 100.40813734 38.57122957, 100.4079964 38.57110161, 100.407982 38.57108939))",108
"Polygon ((100.40711208 38.57110472, 100.40708031 38.57109461, 100.40702474 38.57110958, 100.4069049 38.5711911, 100.40670251 38.57133653, 100.4066162 38.57139382, 100.40656746 38.57142687, 100.40667863 38.57153959, 100.40707757 38.57126529, 100.40719022 38.57118862, 100.40716144 38.57114512, 100.40711208 38.57110472))",109
"Polygon ((100.4062752 38.57115817, 100.40617186 38.57103839, 100.40596716 38.57119284, 100.40575284 38.57133365, 100.40584145 38.57144103, 100.40588651 38.57149411, 100.40596387 38.57156945, 100.40603763 38.57153758, 100.40619593 38.57143402, 100.40631042 38.57135913, 100.40639882 38.57130696, 100.40638464 38.57129032, 100.40628669 38.57117205, 100.4062752 38.57115817))",110
"Polygon ((100.4157581 38.57105668, 100.41565237 38.57092831, 100.41548933 38.5710361, 100.41528334 38.57118255, 100.41525165 38.57121328, 100.41510816 38.57135245, 100.41524425 38.57146818, 100.41524424 38.57146723, 100.415297 38.57143323, 100.41529704 38.57139795, 100.41538224 38.57134639, 100.41551082 38.57127715, 100.41558516 38.57122859, 100.415658 38.57116574, 100.41570519 38.57109558, 100.4157581 38.57105668))",111
"Polygon ((100.41528529 38.57092335, 100.41503728 38.57066132, 100.4147543 38.57041069, 100.41463714 38.57050271, 100.41456733 38.57053406, 100.41446046 38.57065738, 100.41442721 38.57069591, 100.41426236 38.57083519, 100.41418693 38.5708974, 100.41414133 38.57085572, 100.41413175 38.57083152, 100.41411174 38.57083319, 100.41392926 38.57095257, 100.41400902 38.57104416, 100.41415318 38.57121212, 100.41427768 38.57136886, 100.41441043 38.57151545, 100.41491959 38.5712233, 100.41496505 38.57118843, 100.41513419 38.57102051, 100.41528529 38.57092335))",112
"Polygon ((100.40827595 38.57136161, 100.4081553 38.57124747, 100.40804213 38.57132891, 100.40777151 38.57151362, 100.40779495 38.57154352, 100.40787471 38.57161692, 100.40817488 38.5714331, 100.40819151 38.57142292, 100.40827595 38.57136161))",113
"Polygon ((100.42612069 38.5710773, 100.42608054 38.57105801, 100.42602293 38.57109208, 100.42601184 38.5711054, 100.42599327 38.57112771, 100.42598272 38.5711469, 100.42599442 38.57118585, 100.42601952 38.57122654, 100.42608583 38.57126386, 100.42618695 38.57128074, 100.42620916 38.57129858, 100.42624425 38.57135345, 100.4262747 38.57137027, 100.42629827 38.5713833, 100.42633505 38.57140096, 100.426463 38.57132385, 100.42651246 38.5712634, 100.42647178 38.57123819, 100.42643671 38.57121931, 100.4264055 38.57120253, 100.4263507 38.57119461, 100.42633155 38.57119342, 100.42630954 38.57117864, 100.42630017 38.57117235, 100.4262799 38.57116044, 100.42623305 38.57114028, 100.42619174 38.57112362, 100.4261623 38.57110897, 100.42612069 38.5710773))",114
"Polygon ((100.41268114 38.5712634, 100.41266433 38.57124216, 100.41261547 38.57125848, 100.41259437 38.57129734, 100.41256599 38.57133629, 100.412561 38.57136066, 100.412591 38.57140463, 100.41261353 38.57143868, 100.41264292 38.5714512, 100.41264337 38.57147407, 100.41263325 38.57151566, 100.41264855 38.57155266, 100.41266718 38.57157388, 100.41271492 38.57159333, 100.41270649 38.57144185, 100.4126957 38.57135618, 100.41268114 38.5712634))",115
"Polygon ((100.40716099 38.57143303, 100.4070618 38.5713284, 100.40670005 38.57156273, 100.40678609 38.5716694, 100.40716099 38.57143303))",116
"Polygon ((100.4078326 38.57160777, 100.40775199 38.57152199, 100.40769166 38.57154178, 100.40781698 38.57167851, 100.40786255 38.57164936, 100.4078326 38.57160777))",117
"Polygon ((100.41950472 38.57126759, 100.4194335 38.57125845, 100.41944718 38.57130547, 100.41951596 38.57137614, 100.41961559 38.57144071, 100.41970139 38.57154263, 100.41975053 38.5715406, 100.41975336 38.5714991, 100.41972847 38.57143791, 100.41970006 38.57138249, 100.4196758 38.57135275, 100.41963517 38.57132464, 100.41957838 38.57130817, 100.41950472 38.57126759))",118
"Polygon ((100.42043435 38.57099375, 100.42041938 38.57099003, 100.42036468 38.57101336, 100.42022085 38.57110925, 100.42002766 38.57123324, 100.42004999 38.57124707, 100.42014125 38.57131842, 100.42024531 38.57136101, 100.4202678 38.57139315, 100.4202619 38.5714018, 100.42034892 38.57144269, 100.42042351 38.57146848, 100.42043118 38.57147609, 100.42045199 38.57149673, 100.42052631 38.57153222, 100.42058848 38.57154385, 100.42063825 38.57154325, 100.42074613 38.5714714, 100.42078778 38.57142799, 100.42084741 38.57137292, 100.42085322 38.57135951, 100.42076296 38.57127767, 100.42068043 38.57121861, 100.42065038 38.57117226, 100.42059002 38.57112914, 100.42057473 38.57111578, 100.42055666 38.57109999, 100.42048932 38.57101024, 100.42043435 38.57099375))",119
"Polygon ((100.42233889 38.5715043, 100.42234299 38.57125043, 100.42236031 38.57105121, 100.42234579 38.57093351, 100.42234225 38.57090486, 100.42234225 38.57075113, 100.42233102 38.57072029, 100.42227806 38.57067574, 100.42224304 38.57064628, 100.4220783 38.57053519, 100.42205382 38.57051869, 100.42194458 38.57045175, 100.42189556 38.57042171, 100.42180481 38.57036084, 100.42169333 38.57028606, 100.4216879 38.57028242, 100.42149877 38.57015959, 100.42142529 38.57011431, 100.42140966 38.57010467, 100.42123419 38.56998167, 100.42116751 38.56998725, 100.42111183 38.57001176, 100.42123903 38.57007337, 100.42131886 38.57013336, 100.42129398 38.57015745, 100.42127067 38.57013853, 100.42110943 38.57004396, 100.42107709 38.57002052, 100.42100324 38.56997018, 100.42099022 38.56994989, 100.42097819 38.56993116, 100.42097794 38.56984179, 100.42096356 38.56980502, 100.42093559 38.56977648, 100.4209047 38.56974496, 100.42085635 38.56970816, 100.42078296 38.5696523, 100.42072652 38.56963868, 100.42058887 38.56958554, 100.42053062 38.56955645, 100.42040713 38.56951957, 100.4203311 38.56954337, 100.42026069 38.56957569, 100.420143 38.56961144, 100.42004994 38.56965881, 100.41992075 38.56972711, 100.41982166 38.56978313, 100.41965404 38.56982687, 100.41962205 38.5698213, 100.41967029 38.56988149, 100.41968573 38.56997187, 100.41969575 38.57001822, 100.41975417 38.57004075, 100.41976764 38.57004595, 100.41987558 38.57013163, 100.41993326 38.57017338, 100.42003265 38.57024532, 100.42009363 38.57025888, 100.42016169 38.57032359, 100.42026223 38.57034144, 100.42041644 38.57046469, 100.42045616 38.57047732, 100.4204946 38.57057933, 100.42052686 38.5705992, 100.42061645 38.57067795, 100.42068213 38.5706986, 100.42069791 38.57071253, 100.42075937 38.57076678, 100.42087711 38.57081064, 100.42091766 38.57080215, 100.42094363 38.57079672, 100.42109236 38.57087237, 100.42109801 38.57087538, 100.42121048 38.57093529, 100.42121951 38.57094167, 100.42129668 38.57099621, 100.42136257 38.57102758, 100.42138306 38.57103762, 100.42153117 38.57111014, 100.42155313 38.57112119, 100.42166302 38.57117647, 100.42167515 38.57118372, 100.42180741 38.5712629, 100.42184525 38.57125767, 100.42190568 38.57132009, 100.42197482 38.57136215, 100.42199901 38.57135709, 100.42200555 38.5713629, 100.42213805 38.57148053, 100.42215939 38.57148503, 100.42228517 38.57155143, 100.42231513 38.57153081, 100.42233889 38.5715043))",120
"Polygon ((100.42138539 38.57152391, 100.42146842 38.57147954, 100.42146242 38.57148866, 100.42152118 38.57151273, 100.42160083 38.57154894, 100.42164675 38.5715379, 100.42170056 38.5714953, 100.42179203 38.57136442, 100.42175755 38.57131881, 100.42163476 38.57124976, 100.4215593 38.57121158, 100.42152069 38.57119204, 100.42144984 38.57116212, 100.42136272 38.57112532, 100.42132275 38.57110161, 100.42122642 38.57104446, 100.42111035 38.5709756, 100.42108872 38.57096277, 100.4209833 38.57091257, 100.42096886 38.57090463, 100.4209121 38.57087339, 100.42070936 38.57081484, 100.42069366 38.57081327, 100.42067529 38.57081144, 100.42056292 38.57071652, 100.42043009 38.57063138, 100.42037373 38.57066734, 100.42049195 38.57073873, 100.42062532 38.57085151, 100.42066795 38.57085767, 100.42069064 38.5709003, 100.4207375 38.57099792, 100.42078525 38.57114129, 100.4208414 38.57115586, 100.42087258 38.57119743, 100.42094507 38.5712404, 100.42094541 38.57125756, 100.42099086 38.57134567, 100.42103403 38.57137946, 100.42105688 38.57142971, 100.42107916 38.57145137, 100.42111945 38.57146232, 100.42117543 38.57146831, 100.42119652 38.57149094, 100.42129642 38.5715503, 100.4212842 38.57156518, 100.42131115 38.57157725, 100.42138539 38.57152391))",121
"Polygon ((100.40709293 38.57169144, 100.40731943 38.57153713, 100.40741419 38.57147689, 100.40732544 38.57134735, 100.40719237 38.57143561, 100.40687563 38.57164976, 100.40686668 38.57164115, 100.40679587 38.57168152, 100.40691373 38.57180976, 100.40698977 38.57175955, 100.40709293 38.57169144))",122
